τ,nodo,caidos,fraccion_afectada,fraccion_capacidad_afectada
0.3,DT-0A-C13,7,0.03954802259887006,0.25029103608847497
0.3,FORTIGATE-1800F-CENTRAL,9,0.05084745762711865,0.2619324796274738
0.3,DATCC-2A-C2,6,0.03389830508474576,0.40162980209545984
0.3,FORTIGATE-1800F-BALZAY,9,0.05084745762711865,0.2270081490104773
0.3,PE2-BALZAY,14,0.07909604519774012,0.6717112922002328
0.3,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.3,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.3,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.3,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.3,ROUTER-CAMPUS-PARAISO,1,0.005649717514124294,0.023282887077997673
0.4,DATCC-2A-C3,8,0.04519774011299435,0.47264260768335276
0.4,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.4,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.4,INTERNET-MPLS,7,0.03954802259887006,0.24563445867287545
0.4,PE2-CENTRAL,11,0.062146892655367235,0.5320139697322468
0.4,DT-0A-C13,7,0.03954802259887006,0.25029103608847497
0.4,FORTIGATE-1800F-CENTRAL,8,0.04519774011299435,0.20372526193247964
0.4,DATCC-2A-C2,5,0.02824858757062147,0.21536670547147846
0.4,FORTIGATE-1800F-BALZAY,9,0.05084745762711865,0.2270081490104773
0.4,PE2-BALZAY,14,0.07909604519774012,0.6717112922002328
0.4,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.4,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.4,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.4,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.4,ROUTER-CAMPUS-PARAISO,1,0.005649717514124294,0.023282887077997673
0.5,DATCC-2A-C3,8,0.04519774011299435,0.47264260768335276
0.5,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.5,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.5,INTERNET-MPLS,4,0.022598870056497175,0.1979045401629802
0.5,PE2-CENTRAL,12,0.06779661016949153,0.5552968568102444
0.5,DT-0A-C13,7,0.03954802259887006,0.25029103608847497
0.5,FORTIGATE-1800F-CENTRAL,10,0.05649717514124294,0.2852153667054715
0.5,DATCC-2A-C2,5,0.02824858757062147,0.21536670547147846
0.5,FORTIGATE-1800F-BALZAY,9,0.05084745762711865,0.2270081490104773
0.5,PE2-BALZAY,9,0.05084745762711865,0.2281722933643772
0.5,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.5,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.5,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.5,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.5,ROUTER-CAMPUS-PARAISO,1,0.005649717514124294,0.023282887077997673
0.75,DATCC-2A-C3,8,0.04519774011299435,0.47264260768335276
0.75,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.75,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.75,INTERNET-MPLS,4,0.022598870056497175,0.1979045401629802
0.75,PE2-CENTRAL,12,0.06779661016949153,0.5552968568102444
0.75,DT-0A-C13,4,0.022598870056497175,0.20256111757857975
0.75,FORTIGATE-1800F-CENTRAL,9,0.05084745762711865,0.23864959254947612
0.75,DATCC-2A-C2,5,0.02824858757062147,0.21536670547147846
0.75,FORTIGATE-1800F-BALZAY,9,0.05084745762711865,0.2270081490104773
0.75,PE2-BALZAY,9,0.05084745762711865,0.2281722933643772
0.75,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.75,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.75,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.75,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.75,ROUTER-CAMPUS-PARAISO,1,0.005649717514124294,0.023282887077997673
1.0,DATCC-2A-C3,8,0.04519774011299435,0.47264260768335276
1.0,CPAR-C10,1,0.005649717514124294,0.0710128055878929
1.0,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
1.0,INTERNET-MPLS,4,0.022598870056497175,0.1979045401629802
1.0,PE2-CENTRAL,11,0.062146892655367235,0.3445867287543655
1.0,DT-0A-C13,3,0.01694915254237288,0.18975552968568102
1.0,FORTIGATE-1800F-CENTRAL,7,0.03954802259887006,0.14551804423748546
1.0,DATCC-2A-C2,4,0.022598870056497175,0.21303841676367868
1.0,FORTIGATE-1800F-BALZAY,8,0.04519774011299435,0.1920838183934808
1.0,PE2-BALZAY,2,0.011299435028248588,0.10477299185098952
1.0,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
1.0,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
1.0,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
1.0,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
1.0,ROUTER-CAMPUS-PARAISO,1,0.005649717514124294,0.023282887077997673
