f,S_real,S_ER,S_configuracion
0.4180790960451977,0.23000000000000004,0.25887005649717515,0.2691525423728814
0.423728813559322,0.22254237288135595,0.24056497175141245,0.2653107344632768
0.4293785310734463,0.2161581920903955,0.22870056497175142,0.26124293785310737
0.4350282485875706,0.2117514124293785,0.21909604519774015,0.2557062146892655
0.4406779661016949,0.2069491525423729,0.21502824858757066,0.25028248587570623
0.4463276836158192,0.2024858757062147,0.2064406779661017,0.24644067796610172
0.4519774011299435,0.1976271186440678,0.20305084745762714,0.24192090395480226
0.4576271186440678,0.19203389830508474,0.19672316384180788,0.23740112994350285
0.4632768361581921,0.18870056497175142,0.18960451977401133,0.23389830508474577
0.4689265536723164,0.17994350282485874,0.18451977401129946,0.22768361581920907
0.4745762711864407,0.17406779661016947,0.1793220338983051,0.22338983050847458
0.480225988700565,0.17152542372881352,0.1719774011299435,0.21468926553672318
0.4858757062146893,0.16706214689265536,0.16587570621468928,0.20926553672316384
0.4915254237288136,0.162090395480226,0.15875706214689267,0.20689265536723161
0.4971751412429379,0.1568361581920904,0.15265536723163842,0.2032768361581921
0.5028248587570622,0.15293785310734465,0.14610169491525424,0.1984180790960452
0.5084745762711864,0.14898305084745764,0.14112994350282487,0.19141242937853106
0.5141242937853108,0.14242937853107346,0.13502824858757062,0.18451977401129946
0.519774011299435,0.13745762711864407,0.12903954802259887,0.18
0.5254237288135594,0.13118644067796612,0.12101694915254237,0.17570621468926553
0.5310734463276836,0.1261581920903955,0.11581920903954802,0.16903954802259885
0.536723163841808,0.12271186440677966,0.11322033898305085,0.1632768361581921
0.5423728813559322,0.11824858757062146,0.10949152542372881,0.15864406779661017
0.5480225988700564,0.11378531073446328,0.1055367231638418,0.15581920903954802
0.5536723163841808,0.11028248587570622,0.10338983050847457,0.15073446327683615
0.559322033898305,0.10372881355932202,0.09932203389830509,0.1465536723163842
0.5649717514124294,0.10197740112994348,0.09615819209039547,0.13977401129943504
0.5706214689265536,0.09853107344632767,0.08915254237288135,0.13548022598870058
0.576271186440678,0.09638418079096044,0.08745762711864406,0.13197740112994352
0.5819209039548022,0.09192090395480225,0.08451977401129943,0.1289265536723164
0.5875706214689266,0.09011299435028249,0.08045197740112994,0.12406779661016948
0.5932203389830508,0.08666666666666668,0.07819209039548022,0.1184180790960452
0.5988700564971752,0.08293785310734463,0.07717514124293785,0.11581920903954802
0.6045197740112994,0.08146892655367231,0.07401129943502825,0.11197740112994349
0.6101694915254238,0.07858757062146894,0.06994350282485877,0.10983050847457626
0.615819209039548,0.07649717514124293,0.0656497175141243,0.10700564971751411
0.6214689265536724,0.07423728813559322,0.06372881355932203,0.10440677966101695
0.6271186440677966,0.07265536723163842,0.06101694915254237,0.09830508474576272
0.632768361581921,0.07096045197740113,0.05988700564971751,0.09649717514124294
0.6384180790960452,0.07005649717514124,0.05864406779661016,0.09231638418079097
0.6440677966101694,0.06740112994350282,0.05774011299435028,0.09039548022598871
0.6497175141242938,0.06587570621468926,0.05344632768361581,0.08824858757062147
0.655367231638418,0.06372881355932203,0.051977401129943514,0.08418079096045197
0.6610169491525424,0.06242937853107345,0.0503954802259887,0.08225988700564972
0.6666666666666666,0.06073446327683616,0.04858757062146893,0.08045197740112994
0.672316384180791,0.05898305084745763,0.0472316384180791,0.07717514124293785
0.6779661016949152,0.05734463276836158,0.046214689265536714,0.07457627118644067
0.6836158192090396,0.05525423728813559,0.0448587570621469,0.07186440677966102
0.6892655367231638,0.05355932203389831,0.04440677966101696,0.06892655367231638
0.6949152542372882,0.051807909604519774,0.04259887005649718,0.06689265536723164
0.7005649717514124,0.05045197740112994,0.04112994350282486,0.06485875706214689
0.7062146892655368,0.048757062146892655,0.04011299435028248,0.06350282485875706
0.711864406779661,0.046158192090395476,0.03875706214689265,0.061807909604519776
0.7175141242937854,0.044463276836158194,0.03672316384180791,0.05853107344632768
0.7231638418079096,0.043276836158192084,0.03491525423728813,0.05378531073446328
0.7288135593220338,0.041412429378531075,0.0335593220338983,0.05231638418079096
0.7344632768361582,0.04062146892655367,0.03299435028248588,0.05163841807909605
0.7401129943502824,0.03853107344632768,0.03288135593220339,0.04892655367231638
0.7457627118644068,0.03694915254237288,0.03242937853107345,0.047457627118644076
0.751412429378531,0.03598870056497175,0.029830508474576273,0.04531073446327683
0.7570621468926554,0.034237288135593215,0.029039548022598866,0.04305084745762712
0.7627118644067796,0.03344632768361582,0.02813559322033898,0.04011299435028249
0.768361581920904,0.03231638418079096,0.027005649717514128,0.03830508474576271
0.7740112994350282,0.031129943502824862,0.02610169491525424,0.0368361581920904
0.7796610169491526,0.03022598870056497,0.025423728813559324,0.03581920903954803
0.7853107344632768,0.02870056497175141,0.024971751412429376,0.03491525423728814
0.7909604519774012,0.02779661016949152,0.024519774011299438,0.033446327683615815
0.7966101694915254,0.02706214689265536,0.02384180790960452,0.0319774011299435
0.8022598870056498,0.02632768361581921,0.0231638418079096,0.03096045197740113
0.807909604519774,0.025593220338983046,0.022259887005649716,0.029717514124293784
0.8135593220338984,0.02480225988700565,0.021468926553672316,0.02790960451977401
0.8192090395480226,0.024124293785310735,0.020903954802259886,0.02768361581920904
0.8248587570621468,0.023502824858757057,0.019774011299435026,0.026440677966101694
0.8305084745762712,0.022146892655367227,0.019322033898305085,0.024406779661016946
0.8361581920903954,0.021638418079096045,0.018644067796610167,0.02305084745762712
0.8418079096045198,0.021129943502824856,0.01807909604519774,0.021920903954802257
0.847457627118644,0.020112994350282482,0.0176271186440678,0.021468926553672316
0.8531073446327684,0.01943502824858757,0.016610169491525426,0.020338983050847456
0.8587570621468926,0.018757062146892652,0.015932203389830507,0.01909604519774011
0.864406779661017,0.018248587570621467,0.015706214689265537,0.017627118644067796
0.8700564971751412,0.017005649717514126,0.01502824858757062,0.017062146892655367
0.8757062146892656,0.01615819209039548,0.01480225988700565,0.016271186440677966
0.8813559322033898,0.015649717514124292,0.014463276836158192,0.016045197740112992
0.8870056497175142,0.015084745762711864,0.014011299435028247,0.015141242937853105
0.8926553672316384,0.01480225988700565,0.013220338983050847,0.014350282485875705
0.8983050847457628,0.013559322033898305,0.012881355932203388,0.01389830508474576
0.903954802259887,0.013333333333333332,0.012090395480225991,0.012881355932203386
0.9096045197740112,0.012768361581920904,0.01152542372881356,0.012429378531073445
0.9152542372881356,0.012033898305084745,0.011073446327683615,0.011977401129943504
