f,S_aleatorio_media,S_aleatorio_std,S_grado,S_intermediacion_estatica,S_intermediacion_recalculada
0.10734463276836158,0.7610734463276836,0.09088030900103605,0.05084745762711865,0.03954802259887006,0.03389830508474576
0.11299435028248588,0.7521468926553672,0.09064358108945991,0.03389830508474576,0.03954802259887006,0.03389830508474576
0.11864406779661017,0.7439548022598871,0.09001976361965583,0.03389830508474576,0.03954802259887006,0.03389830508474576
0.12429378531073447,0.7342372881355931,0.09058759474557151,0.03389830508474576,0.03954802259887006,0.03389830508474576
0.12994350282485875,0.7232768361581923,0.09193735798197432,0.03389830508474576,0.03389830508474576,0.03389830508474576
0.13559322033898305,0.7124293785310734,0.09297488346098977,0.03389830508474576,0.03389830508474576,0.03389830508474576
0.14124293785310735,0.7031073446327685,0.09223284990035473,0.02824858757062147,0.03389830508474576,0.03389830508474576
0.14689265536723164,0.6922598870056497,0.09363129013823761,0.02824858757062147,0.03389830508474576,0.02824858757062147
0.15254237288135594,0.6837853107344632,0.09508011528706448,0.02824858757062147,0.03389830508474576,0.022598870056497175
0.15819209039548024,0.6759322033898306,0.09236609666391858,0.02824858757062147,0.02824858757062147,0.022598870056497175
0.1638418079096045,0.6627683615819209,0.09144759165062553,0.02824858757062147,0.02824858757062147,0.022598870056497175
0.1694915254237288,0.6509604519774012,0.09359038990839764,0.02824858757062147,0.02824858757062147,0.022598870056497175
0.1751412429378531,0.6420903954802258,0.09069236970179935,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.1807909604519774,0.6316949152542373,0.09177489650034666,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.1864406779661017,0.6209039548022599,0.09495132242033497,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.192090395480226,0.6049717514124293,0.09668818078791673,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.1977401129943503,0.5934463276836158,0.1006237536975295,0.02824858757062147,0.02824858757062147,0.01694915254237288
0.2033898305084746,0.5823728813559322,0.10249918165652956,0.022598870056497175,0.02824858757062147,0.01694915254237288
0.20903954802259886,0.5687570621468926,0.10830316296799575,0.022598870056497175,0.02824858757062147,0.01694915254237288
0.21468926553672316,0.5588700564971751,0.10780373803178278,0.01694915254237288,0.02824858757062147,0.01694915254237288
0.22033898305084745,0.5425423728813559,0.1101023944159234,0.01694915254237288,0.02824858757062147,0.011299435028248588
0.22598870056497175,0.5279096045197741,0.11068611974601283,0.01694915254237288,0.02824858757062147,0.011299435028248588
0.23163841807909605,0.5129378531073447,0.10967061324889105,0.01694915254237288,0.02824858757062147,0.011299435028248588
0.23728813559322035,0.502542372881356,0.11064840587086461,0.01694915254237288,0.02824858757062147,0.011299435028248588
0.24293785310734464,0.49192090395480226,0.11373737043875315,0.01694915254237288,0.02824858757062147,0.011299435028248588
0.24858757062146894,0.48265536723163843,0.11485444657581777,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2542372881355932,0.4748022598870057,0.11442883320408348,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2598870056497175,0.46293785310734464,0.11460311132031858,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2655367231638418,0.45344632768361587,0.11506861729072446,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2711864406779661,0.44440677966101694,0.11296358652149364,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2768361581920904,0.43604519774011297,0.11040630272785466,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2824858757062147,0.42677966101694914,0.11225983947302877,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.288135593220339,0.4190395480225989,0.10980212294315768,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2937853107344633,0.4084180790960452,0.10953823924853912,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.2994350282485876,0.39875706214689266,0.10971730313171738,0.01694915254237288,0.011299435028248588,0.011299435028248588
0.3050847457627119,0.3935593220338983,0.10827388032908575,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.3107344632768362,0.3857627118644067,0.10296179313838281,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.3163841807909605,0.37870056497175136,0.10320380281793327,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.3220338983050847,0.3719774011299435,0.10446529857416872,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.327683615819209,0.3636158192090395,0.10375860143711725,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.3333333333333333,0.3525423728813559,0.09979713887280792,0.011299435028248588,0.011299435028248588,0.011299435028248588
0.3389830508474576,0.3462146892655367,0.09790894410450257,0.011299435028248588,0.005649717514124294,0.011299435028248588
0.3446327683615819,0.3373446327683616,0.09715594530431189,0.011299435028248588,0.005649717514124294,0.011299435028248588
0.3502824858757062,0.3296045197740113,0.09552251099623799,0.011299435028248588,0.005649717514124294,0.011299435028248588
0.3559322033898305,0.32056497175141246,0.09295102201262424,0.011299435028248588,0.005649717514124294,0.011299435028248588
0.3615819209039548,0.31175141242937854,0.09593731247352127,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.3672316384180791,0.29802259887005644,0.10059637019961136,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.3728813559322034,0.29011299435028254,0.09693028705418114,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.3785310734463277,0.2826553672316384,0.0945735057073642,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.384180790960452,0.27655367231638417,0.09274181601870585,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.3898305084745763,0.26796610169491525,0.08860600729737317,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.3954802259887006,0.2633898305084746,0.08738414239827397,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4011299435028249,0.2588135593220339,0.08893811441842238,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4067796610169492,0.2493220338983051,0.08879284330806586,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4124293785310734,0.24101694915254235,0.08683427738308946,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4180790960451977,0.23000000000000004,0.0836459479213075,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.423728813559322,0.22254237288135595,0.08333546609616603,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4293785310734463,0.2161581920903955,0.07979658951451378,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4350282485875706,0.2117514124293785,0.07838965184990024,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4406779661016949,0.2069491525423729,0.07763404954529841,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4463276836158192,0.2024858757062147,0.07764677756712877,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4519774011299435,0.1976271186440678,0.0783094071252251,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4576271186440678,0.19203389830508474,0.07803106168536585,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4632768361581921,0.18870056497175142,0.07793805896709949,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4689265536723164,0.17994350282485874,0.07373056821095533,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4745762711864407,0.17406779661016947,0.07311279895182476,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.480225988700565,0.17152542372881352,0.07303702032496522,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4858757062146893,0.16706214689265536,0.0708715767495659,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4915254237288136,0.162090395480226,0.06792344372586398,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.4971751412429379,0.1568361581920904,0.06618487872236666,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5028248587570622,0.15293785310734465,0.06406665322991788,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5084745762711864,0.14898305084745764,0.06349238423884497,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5141242937853108,0.14242937853107346,0.060334741285436186,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.519774011299435,0.13745762711864407,0.059704946266063215,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5254237288135594,0.13118644067796612,0.0597293770666318,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5310734463276836,0.1261581920903955,0.0590642881702878,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.536723163841808,0.12271186440677966,0.05832836732051857,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5423728813559322,0.11824858757062146,0.056452958786057626,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5480225988700564,0.11378531073446328,0.05559410650753422,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.5536723163841808,0.11028248587570622,0.05568369438009505,0.005649717514124294,0.005649717514124294,0.011299435028248588
0.559322033898305,0.10372881355932202,0.05412184064598629,0.005649717514124294,0.005649717514124294,0.011299435028248588
