origen,destino,campus_origen,campus_destino,capa_origen,capa_destino
BAL-CENTEC-D2,CTBLOQ1-0A-A101,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-CENTEC-D2,CTBLOQ2-0A-A102,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-CENTEC-D2,CTBLOQ3-0A-A103,Campus Balzay,Campus Balzay,agregacion,acceso
BAL-CENTEC-D2,VLIR-0A-A107,Campus Balzay,Campus Balzay,agregacion,acceso
QUIN-1A-A117,QUIN-1A-A128,Campus Balzay,Campus Balzay,acceso,acceso
BAL-EADM-D3,QUIN-1A-A117,Campus Balzay,Campus Balzay,agregacion,acceso
CB-EADMI-D6,BAL-EADM-D3,Campus Balzay,Campus Balzay,agregacion,agregacion
CB-EADMI-D6,EA-0A-A114,Campus Balzay,Campus Balzay,agregacion,acceso
CB-EADMI-D6,EA-1A-A115,Campus Balzay,Campus Balzay,agregacion,acceso
CB-EADMI-D6,EA-1A-A116,Campus Balzay,Campus Balzay,agregacion,acceso
CCJ-CJURIDICO-D4,CCJ-1A-A10,Campus Central,Campus Central,agregacion,acceso
CCJ-CJURIDICO-D4,CCJ-1A-A11,Campus Central,Campus Central,agregacion,acceso
INTERNET-MPLS,CCJ-CJURIDICO-D4,Nube MPLS,Campus Central,wan,agregacion
HOS-0A-D05,HOS-0A-A10,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso
HOS-0A-D05,HOS-0A-A13,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso
HOS-0A-D05,HOS-1A-A12,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso
HOS-0A-D05,HOS-2A-A11,Campus Hospitalidad,Campus Hospitalidad,agregacion,acceso
INTERNET-MPLS,HOS-0A-D05,Nube MPLS,Campus Hospitalidad,wan,agregacion
AGRPRI-1A-D10,AGRPRI-1A-A19,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,ANF-0A-A14,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,ART-0A-A15,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,BIB-2A-A16,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,BLOQUED-0A-A21,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,CEN-1A-A20,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,DAN-1A-A11,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,LAB-1A-A18,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,LABMAC-1A-A13,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,LAC-0A-A17,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
AGRPRI-1A-D10,TALL-0A-A12,Campus Yanuncay,Campus Yanuncay,agregacion,acceso
ROUTER-CAMPUS-YANUNCAY,AGRPRI-1A-D10,Campus Yanuncay,Campus Yanuncay,wan,agregacion
CP-EADMINA1-D6,MEDADM-0F-A16,Campus Paraiso,Campus Paraiso,agregacion,acceso
CP-EADMINA1-D6,MEDADM-0G-A17,Campus Paraiso,Campus Paraiso,agregacion,acceso
